material,rmse,mae,r2,phonon_rmse,phonon_mae,phonon_scaled_rmse,phonon_rrmse,rmsd,maxd,spacegroup,benchmark_spacegroup,min_frequency,benchmark_min_frequency,max_frequency,benchmark_max_frequency,mean_frequency,benchmark_mean_frequency,volume,benchmark_volume,heat_capacity,benchmark_heat_capacity,entropy,benchmark_entropy,free_energy,benchmark_free_energy,k_diff_high_temp_limit,benchmark_k_diff_high_temp_limit
mp-21246,0.1352405036706835,0.1161278662959895,0.9571921730559227,0.1318903659391956,0.11526159483989,0.0637905769268803,0.0338749412959395,0.0092515979473359,0.0156522023326357,Pnma (62),Pnma (62),-3.48167289124719e-05,-0.0066981653509938,2.663093414291592,2.880672748688638,1.7892359529254005,1.7677115556167464,540.1354810046452,556.3435571723863,297.3460479013067,297.0718644340112,724.1424221531308,703.3675677601939,-126.85171137486304,-120.53632144772938,0.1388859543800466,0.1358695050476732
mp-2160,0.3409914233206293,0.3199333058466624,0.9569358732449464,0.3337810106460016,0.3169765451858097,0.2137506117132549,0.0588140254995243,0.0317059691380567,0.0473390401428204,Pnma (62),Pnma (62),-0.3303280869907749,-0.2631556622543595,6.3534828491466815,6.645164592964405,3.075505100934574,3.25571446860072,630.5187394603912,596.5989421974016,486.7706887819234,485.07922010631023,969.9983675759324,906.8947649590184,-137.97700684293082,-118.27547734826972,0.268817981284798,0.2898633762874962
mp-2201,1.1135344728481014,0.943262095888202,0.0016910593591553,1.0004199325364505,0.9043532912437892,0.8515721385035537,0.2750038064378088,,,Fm-3m (225),Fm-3m (225),-0.0001945170682499,-0.0111680730802819,4.324233315095033,4.738671775417894,2.268119718064235,2.9680938261543366,59.914876167030336,49.3774161476624,49.336766148474126,48.88237927131595,111.25786856681344,90.26197310536084,-18.244981019274984,-11.808070677824473,0.2016487877128202,0.2814552595849356
mp-2231,0.2611364735013927,0.2092401069768443,0.9861581648322038,0.2206774430400321,0.1835578103833159,0.2568408848149286,0.0549070047151411,0.0174103398580174,0.0230684287589708,Pnma (62),Pnma (62),-6.604332182719188e-05,-0.1514383384122994,7.877630522876309,8.494189535946841,4.273067264970572,4.124921551168627,211.9288608422329,204.71477424313755,191.2129304561817,190.6697275330352,332.92309870350107,322.91630017897063,-37.43618924697005,-34.26130310186854,0.3957955331032777,0.3865097836062519
mp-23116,0.3502501305631826,0.2465391237782198,0.9905696933725264,0.2860465974398287,0.2144608402992034,0.678051804607005,0.1139167037629511,0.0016939935629669,0.0029726679874268,P4/nmm (129),P4/nmm (129),-8.6995754634248e-05,-0.1004918964535317,12.747769310769048,14.827379671028496,5.331728513150143,4.762003542948697,142.0209915195424,141.35559827821618,187.02625306403624,186.1595279204324,316.290290119196,315.4867971704333,-30.977762750442352,-30.4496115225,0.5643454670127612,0.5048316446434896
mp-2534,0.4438620631147872,0.3811524271898144,0.966805356235631,0.3866775267509999,0.3398598378933198,0.384113238357279,0.069047839624279,1.770478870708939e-16,1.770478870708939e-16,F-43m (216),F-43m (216),-0.0001203529596566,0.0044323232184697,7.784334639594172,8.177090934401798,5.313572601152567,5.101776259486006,47.36920359269614,47.54870379750733,46.92508463687391,46.77637341861262,66.56537563831742,67.90837172535925,-4.0842219594104,-4.437278541902964,0.5108920222800561,0.4899100827504724
mp-2612,0.5529918818480639,0.3916398430175613,0.913868105381472,0.3761393002161414,0.2696386001855452,0.3760782243984543,0.1452445503987628,1.3834537754490612e-16,1.3834537754490612e-16,Fm-3m (225),Fm-3m (225),-1.98231963939676,-3.166062692332873,4.448889961034218,4.867448666517726,2.573922240216059,2.490204577214238,54.05836110122543,54.23188312267845,45.7480529564398,46.0080823688061,96.74702422692378,94.10875198578272,-14.923882607207627,-14.01175053166514,0.2368185189556497,0.2288712959145043
mp-2646,0.568984890717371,0.4410915203268288,0.9327684837506688,0.5291344539146431,0.4262586559024089,0.595228432880047,0.1230262792383699,0.008628925602505,0.0135748109390017,P-3m1 (164),P-3m1 (164),-0.0001113848708784,-0.0333227457978552,7.178847630684603,8.596009372257722,4.701822273693768,4.337730397171094,134.3764741379198,133.23708444631717,119.71774467578835,118.7957223520691,204.959175691246,191.9260285946453,-22.52825793571523,-18.325905077423283,0.4334240387097552,0.400997853987582
mp-27163,0.1116261975135952,0.0820541404895438,0.9963098495488076,0.111422999081146,0.0819196648605078,0.0891128342140291,0.0257254938976537,0.0068618926094069,0.0147305408984083,P2_13 (198),P2_13 (198),-3.545087675625539e-05,-0.0157745632259464,7.243544132625773,7.633262285622639,3.008926004800224,2.9367722156164984,1441.9178579920683,1440.325275776979,1559.1374207927302,1556.9171263963424,3208.489220790368,3167.3014787399643,-472.219229017384,-459.1624278903304,0.29416377505471,0.2872155338703152
mp-27947,0.2485786269199807,0.2006892067229851,0.9384325455536674,0.2172619133147297,0.1854256974932539,0.1199216154923784,0.0467090889413794,0.034216048814244,0.0511553597627205,R-3m (166),R-3m (166),-4.853740850492021e-05,-0.5671970237607153,4.509425876588044,4.843377888920563,2.3842628828141024,2.404028281025991,243.0954796861772,236.2743369998608,172.51232169840836,172.08654052129006,371.1849336655944,356.6113880662472,-58.34211052727336,-53.8970309371408,0.2017866304124563,0.2053988145391317
